DATE,GDP
1990-01-01,5890.835
1990-04-01,5974.665
1990-07-01,6029.504
1990-10-01,6023.332
1991-01-01,6054.867
1991-04-01,6143.612
1991-07-01,6218.425
1991-10-01,6279.296
1992-01-01,6380.798
1992-04-01,6492.299
1992-07-01,6586.548
1992-10-01,6697.553
1993-01-01,6748.182
1993-04-01,6829.594
1993-07-01,6904.222
1993-10-01,7032.844
1994-01-01,7136.259
1994-04-01,7269.847
1994-07-01,7352.255
1994-10-01,7476.661
1995-01-01,7545.296
1995-04-01,7604.923
1995-07-01,7706.531
1995-10-01,7799.493
1996-01-01,7893.146
1996-04-01,8061.535
1996-07-01,8159.043
1996-10-01,8287.078
1997-01-01,8402.06
1997-04-01,8551.94
1997-07-01,8691.756
1997-10-01,8788.32
1998-01-01,8889.732
1998-04-01,8994.738
1998-07-01,9146.521
1998-10-01,9325.65
1999-01-01,9447.103
1999-04-01,9557.005
1999-07-01,9712.28
1999-10-01,9926.101
2000-01-01,10031.031
2000-04-01,10278.34
2000-07-01,10357.445
2000-10-01,10472.285
2001-01-01,10508.121
2001-04-01,10638.384
2001-07-01,10639.486
2001-10-01,10701.317
2002-01-01,10834.445
2002-04-01,10934.752
2002-07-01,11037.057
2002-10-01,11103.834
2003-01-01,11230.078
2003-04-01,11370.653
2003-07-01,11625.137
2003-10-01,11816.827
2004-01-01,11988.403
2004-04-01,12181.398
2004-07-01,12367.744
2004-10-01,12562.163
2005-01-01,12813.729
2005-04-01,12974.083
2005-07-01,13205.445
2005-10-01,13381.629
2006-01-01,13648.904
2006-04-01,13799.794
2006-07-01,13908.498
2006-10-01,14066.37
2007-01-01,14233.226
2007-04-01,14422.313
2007-07-01,14569.675
2007-10-01,14685.33
2008-01-01,14668.445
2008-04-01,14812.974
2008-07-01,14842.983
2008-10-01,14549.949
2009-01-01,14383.885
2009-04-01,14340.417
2009-07-01,14384.145
2009-10-01,14566.511
2010-01-01,14681.063
2010-04-01,14888.6
2010-07-01,15057.66
2010-10-01,15230.208
2011-01-01,15238.371
2011-04-01,15460.926
2011-07-01,15587.125
2011-10-01,15785.312
2012-01-01,15973.881
2012-04-01,16121.851
2012-07-01,16227.939
2012-10-01,16297.349
2013-01-01,16475.44
2013-04-01,16541.39
2013-07-01,16749.349
2013-10-01,16999.888
2014-01-01,17031.324
2014-04-01,17320.921
2014-07-01,17622.257
2014-10-01,17735.933
2015-01-01,17874.715
2015-04-01,18093.224
2015-07-01,18227.689
2015-10-01,18287.226
2016-01-01,18325.187
2016-04-01,18538.039
2016-07-01,18729.13
2016-10-01,18905.545
2017-01-01,19057.705
2017-04-01,19250.009
2017-07-01,19500.602
2017-10-01,19754.102
